Title																				,Podficcer,Author,Ship,Link
Manacled,Audiobook Warriors,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/19760674/chapters/46775881
Manacled,ETL_Echo_Audiobooks,SenLinYu,Hermione Granger/Draco Malfoy,https://open.spotify.com/show/42cTgtq8xfnAedSUPEzgyp?si=5a4fb573433b46b8
Manacled,orphan_account,SenLinYu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/18915673/chapters/44904583
Manacled ,Olivia Rae King,SenLinYu ,Hermione Granger/Draco Malfoy,https://soundcloud.com/olivia1kings1912?ref=clipboard&p=i&c=0&si=3B7AE7F6729C4369A441703C2B1DE946&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Mandrakes,Queenie_Mab,Frayach,Scorpius Malfoy/Albus Severus Potter,https://archiveofourown.org/works/1984680
Manor House No.7,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50142193
Marbles Lost and Found,xan_reads,Saras_Girl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/19148005
Marginal Notes,micha_making_podfics,blamebrampton,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/0ohFSSL8ckhlhKk40UPLYZ?si=00a68ddde1c04b53
Marginalia,Pigoletta,spindrifters,Sirius Black/Remus Lupin,https://archiveofourown.org/works/48646270/chapters/122710870
Marks,JocundaSykes,florahart,Harry Potter/Severus Snape,https://archiveofourown.org/works/31902019
Marriage In Mind,reena_jenkins,azardarkstar,Luna Lovegood/Harry Potter,https://archiveofourown.org/works/298160
marry me (today and every day),peaceinpanem,grimjobs,Barty Crouch Jr./Evan Rosier,https://archiveofourown.org/works/49118968
Matched Set,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7448299
Matchmaking en Masquerade,EllaMcSmellBella,Mamapotterhead2492,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42032040
Measure of a Man,SEP FanFic Readings,inadaze22,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53966758
Meet Me Under the Mistletoe,Cailynwrites,SiriuslySapphic,Narcissa Black Malfoy/Dorcas Meadowes,https://archiveofourown.org/works/52303417
Meet on Telegraph Avenue,peaceinpanem,ani_wahstan,Regulus Black/James Potter,https://archiveofourown.org/works/49892017/chapters/125954494
Meet Your Match,Paper Crane Audiobooks,morriganmercy,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3HyvcX4yrOCH3rFHMES9Pn?si=0fe1d51fa1804f9f
Meeting by Starlight,reveriepi,Lomonaaeren,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43968753
Melange a deux,smirkingcat,lyonessheart,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41791368
Memory Mews,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43630329
Ménage à Trois,picascribit,picascribit,Sirius Black/Remus Lupin/Original Male Character(s),https://archiveofourown.org/works/937514
messin' up my mind,Cailynwrites,SkyRose,Percy Weasley/Oliver Wood,https://archiveofourown.org/works/53964766
Meta on Myrtle,reena_jenkins,ChokolatteJedi,Moaning Myrtle,https://archiveofourown.org/works/14019897
Miles to go Before I Sleep,JocundaSykes,pluperfectsunrise,Harry Potter/Severus Snape,https://archive.org/details/milestogobeforeisleep
Mind and Body,ETL_Echo_Audiobooks,sarena,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42286116
Miscalculation,EllaMcSmellBella,Spork_in_the_Road,Hermione Granger/Tom Riddle,https://archiveofourown.org/works/41781051
Miss Not-a-Weasley,RoastedOats,anonymousmagpie,Susan Bones & Jules Potter,https://archiveofourown.org/works/48517588
Mistletoe Rescue,ETL_Echo_Audiobooks,In_Dreams,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52303510
Moldova's Magical Tea,ETL_Echo_Audiobooks,aibidil,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45669469
Months In The Greenhouse,DontStopHerPodfics,DontStopHerNow,Neville Longbottom/Pansy Parkinson,https://archiveofourown.org/works/47077375
more a broomstick kind of guy,Flowerparrish Pods,clareypotter,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44098416
More Powerful Than Experience,reveriepi,flightinflame,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44121195/chapters/110944572
Morning Patrol,RattleandHum,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39245940
Morning Patrol ,EllaMcSmellBella,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44113875
Most Wonderful Time,JocundaSykes,mixtapestar,Percy Weasley/Oliver Wood,https://archiveofourown.org/works/28415007
Mr Popular,GreenIbis,GreenIbis,Sirius Black/Remus Lupin,https://archiveofourown.org/works/53559580
Murder Bunnies,EllaMcSmellBella,"Avendell, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50388181
"Music Plays, the Figures Dance (part 2 of Running  From Lions)",seeking_semperfiona,tryslora,Harry Potter/Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/21533698
Must Be The Whiskey,The Dramione Archives,In_Dreams,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7mIsrePXVrGCur6UCFkCup?si=d09598a571fb4ee8
My Bird Husband,kisreadingdhr,kisreadingdhr,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53910121/chapters/136456360
My hand was the one you reached for,melissamwrites,melissamwrites,Regulus Black/James Potter,https://archiveofourown.org/works/49275967/chapters/124339549
My heart was far too glad,ETL_Echo_Audiobooks,MaesterChill,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46300159
My Moony - TTS,BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://archiveofourown.org/works/52666948
My True Love Gave to Me,SEP FanFic Readings,notebookandink,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54045388
Neon Moon,Ashata,Athenowl,Sirius Black/Remus Lupin,https://archiveofourown.org/works/39906828
Neon Moon - TTS,BurningAurora,Krethe,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5HP5kjosnt2xc013zRwGUD?si=ae4e07a0b95e4476
Nero su Bianco,Sandstripe,zuzallove,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/23334244
Never Miss a Day Again,sweaters_in_the_summer,saxamophone,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48164725
Never Say Remember,PsychoticFireBadger,Malora,Lily Evans Potter/Severus Snape,https://soundgasm.net/u/PsychoticFireBadger/Never-Say-Remember
Never Unseen,JocundaSykes,HogwartsToAlexandria,Kingsley Shacklebolt/Severus Snape,https://archiveofourown.org/works/44116305
Newt,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7387306
"night by night, I let you eat me alive - TTS",BurningAurora,emeryhall,Sirius Black/Remus Lupin,https://open.spotify.com/episode/3RltP9N65wPhPWsU1uE4sX?si=e32449e547dd4073
No Bones About It,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50142049
No Distance,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,https://archiveofourown.org/works/39386616
No Matter What,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2WsZpP0jKLSqeQL4OXPtwA?si=Gh829QrOSSCd5axJ15bIxA
No Net Below,BuffaloWingQueen3,Pia_Bartolini,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43462173
No Place to Hide,Static_Whisper,Aneiria,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33441250
No Room at the Inn,fire_juggler,Dementordelta,Harry Potter/Severus Snape,https://archiveofourown.org/works/309652
No Shadow Taller Than Our Souls,seeking_semperfiona,khasael,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/4777469
No Time Like Christmas,EllaMcSmellBella,eidheann,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43630234
"No Tricks, Only Sweets",EllaMcSmellBella,Robiness,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385538
Nobody Tells You How,sweaters_in_the_summer,ThirdEye1234,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46592131
Nobody Tells You How,sweaters_in_the_summer,ThirdEye1234,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/46592131
Nocturne,Pods and Filks,SerenaEW,Severus Snape/Reader,https://archiveofourown.org/works/47778241/chapters/120442693
Not a Date,EllaMcSmellBella,dracogotgame,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41780802
Not Exactly Cinderella,Flowerparrish Pods,katmarajade,Kingsley Shacklebolt/Nymphadora Tonks,https://archiveofourown.org/works/38807637
Not Safe For Work,ETL_Echo_Audiobooks,eggbagelsjr,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43757550
Not the Prime Minister,Flowerparrish Pods,Ovely,Nick Clegg/Kingsley Shacklebolt,https://archiveofourown.org/works/44089206
Nothing But You On My Mind,sweaters_in_the_summer,Moonflower_Rose,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49524121/chapters/124991611
Now Is A Gift,ETL_Echo_Audiobooks,senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137842
Obscured Memories,Kasena,YouAreMyHappilyEverAfter,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/30566231/chapters/75392777
Of Bookshelves and Baby Carriers,Ashata,poppunkpadfoot,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47005870
Of Bookshelves and Baby Carriers ,Ashata,poppunkpadfoot,Sirius Black/Remus Lupin,https://open.spotify.com/episode/1SfgFaZFoKnbp6rb9BZUry?si=c97128ed9544487f
Of Comets and Counter-Examples,fire_juggler,Woldy ,Sirius Black/Remus Lupin,https://archiveofourown.org/works/309670
Of Letters Written and Sent,EllaMcSmellBella,HeyJude19,Sirius Black/Remus Lupin,https://archiveofourown.org/works/41206542
"Of Memories, Bitter and Sweet - TTS",BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44300866
Of Parseltongue and Purple Mushrooms,seeking_semperfiona,thestarryknight,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27266533
Oh God Not Again!,Teatime with a Hufflepuff,Sarah1281,Hermione Granger & Harry Potter & Ron Weasley,https://open.spotify.com/episode/5QeRjKXZssx5H12Yr5BfFm?si=ab6d18d4519245a0
Oh Your Love Is Sunlight ,Cailynwrites,B1ackCatChatsBack,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50026615
"oh, we were bound to get together",micha_making_podfics,nikkiRA,Sirius Black/Remus Lupin,https://open.spotify.com/episode/0AN2fH216BgF8dEH9QpMbB?si=0c4976db832a4540
Old Lord Voldy (had a soul),SerenaEW,SerenaEW,Tom Riddle | Voldemort,https://archiveofourown.org/works/48039034
Oliver Wood is still mad 'cause there's no Quidditch in 1994,"Eleanor_Elizabeth, micha_making_podfics, with (bluedreaming), with (wilfriede0815)",,"Percy Weasley, Dudley Dursley, Remus Lupin",https://archiveofourown.org/works/50604646
On The Cusp of Slytherin,picascribit,picascribit,Minerva McGonagall/Tom Riddle,https://archiveofourown.org/works/924659
On the Deficiencies of Translation Spells,JocundaSykes,LilaDiurne,Harry Potter/Severus Snape,https://archiveofourown.org/works/52198651
Once More With Feeling,EllaMcSmellBella,wetpretzel,Hermione Granger/Draco Malfoy,https://archive.org/details/@ellamcsmellbella?query=once+more
"Once More, With Feeling",EllaMcSmellBella,wetpretzel,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4E7BWs7xH7Ogbk9JTh6Z29?si=360f0e192d0640e7
Once Upon a Fairy Tale,fire_juggler,writcraft,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/398015
"One for Sorrow, Two for Joy",fire_juggler,elmyraemilie,Harry Potter/Severus Snape,https://archiveofourown.org/works/1384816
One Hell of a Woman,picascribit,picascribit,Kingsley Shacklebolt/Helga Hufflepuff,https://archiveofourown.org/works/939785
One Night,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138280
One Sniff,The Dramione Archives,PotionChemist,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5j26iLU4omQCT7RXXplCA1?si=6f9f1522791a4a29
"one step, not much (but it said enough)",peaceinpanem,peaceinpanem,Sirius Black/Remus Lupin,https://archiveofourown.org/works/48480676?view_adult=true
Only Happy When It Rains,Cailynwrites,Pineau_noir,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47952685
Only One Word,smirkingcat,EntreNous,Remus Lupin/Draco Malfoy,https://archiveofourown.org/works/24424954
Only The Brave,zebrastripes365,Solmussa,Regulus Black/James Potter,https://open.spotify.com/episode/3saKqLvRlDBxdEYdPbVDx8?si=1d71fe97f82d49e1
Onslaught,Queenie_Mab,zeitgeistic,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/1353064
Open for Repairs,RattleandHum,FeelsforBreakfast,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33179218/chapters/82373905
Orange Blossoms,JocundaSykes,danpuff,Harry Potter/Severus Snape,https://archiveofourown.org/works/39748317
Osculum Anuum,SEP FanFic Readings,MyDelphi,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53867656
Our Pleasure,smirkingcat,TheMightyFlynn,Draco Malfoy/Theodore Nott,https://archiveofourown.org/works/24424600
Ouroboros in Tribute,"Pods and Filks by (SerenaEW), SerenaEW, Verselets by (SerenaEW)",SerenaEW,Harry Potter/Severus Snape,https://archiveofourown.org/works/46027294
Out and the Open,seeking_semperfiona,HenryMercury,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/22189882/chapters/52976965
Out In The Open,ETL_Echo_Audiobooks,lettered,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43048092
Out of Mind,SEP FanFic Readings,galfoy,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54093976
Out of Order,The Dramione Archives,workofstone,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/10dwKAkS9wuEBLyCr7amAR?si=25647dc766a94a98
Out of Place,ETL_Echo_Audiobooks,Faelyee,Harry Potter/Severus Snape,https://archiveofourown.org/works/50155549
Out of the Dark,Chioces,Chioces,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/7l0cuz6j13AxUwnTol3az0?si=7b8c1903eed74dea
Owl in a Day’s Work,RattleandHum,Moonflower_Rose,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36882463
Owl Was Well,DemonFeedAudio,fencer_x,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/42322707/chapters/106276500
Packing the Flat,xan_reads,marguerite_26,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/17646032
Padfoot’s Seven Step Plan to Ensnare Moony for Life,peaceinpanem,Remy_Writes5,Sirius Black/Remus Lupin,https://archiveofourown.org/works/49694734
Pansy character Sketch,SilverMiss Fanfiction,colubrina,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/59SP1uEgVWhI1GdRBoCa1I?si=5594e5f0dc9340b3
Paper Thin Hotel,picascribit,picascribit,Regulus Black/Severus Snape,https://archiveofourown.org/works/968777
Paradise,inmyownlittle_podfic_corner,Maira,Pansy Parkinson/Ginny Weasley,https://archiveofourown.org/works/45156661
Peer Pressure,"aethel-multivoice (aethel), luvtheheaven (VioletEmerald), reena_jenkins, Shmaylor, wingedwords (gunpowderandlove)",xylodemon,Sirius Black/Remus Lupin,https://archiveofourown.org/works/21714217
Pentamerone,luckytiger96,drawlight,Harry Potter/Severus Snape,https://archiveofourown.org/works/53021680
Per my last letter (I hope you choke on it),lastontheboat,lastontheboat & fluxweed,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45841207/chapters/115369282
Perfect,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40894365
Perfect Horoscopes,Kasena,DevilRising,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/35297368
Pet Project ,Snamione Reads,Caeria,Hermione Granger/Severus Snape,https://open.spotify.com/episode/5h5QemDsTVTeyF3cTtazTb?si=cbe53d4ecae24822
Picking Up the Pieces,smirkingcat,SumthinClever,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/35588743
"Pigeons, Crips, and Three Claiming Bites - TTS",BurningAurora,Quietlemonhush,Sirius Black/Remus Lupin,https://open.spotify.com/episode/4LqVffGDJrepJKL7jFTA2F?si=b7d1dceab20747fd
Pilgrim Soul,kitartpods,Tavina,Cho Chang/Blaise Zabini,https://archiveofourown.org/works/47187019
Pinky Promises Are Powerful Magic,reveriepi,megyal,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/44655601
"Pirates, Parrots, and Pining (oh my) - TTS",BurningAurora,OptimisticDinosaur,Sirius Black/Remus Lupin,https://open.spotify.com/episode/59DZ5pHNggDEFoiWO3uq6N?si=54a9435951874948
Planning,wilfriede0815,digthewriter,Pansy Parkinson/Rose Weasley,https://archiveofourown.org/works/52355827
Playing with Potions,The Dramione Archives,madmarauder24,Hermione Granger/Draco Malfoy/Theodore Nott,https://open.spotify.com/episode/1KLtQ89Kd3vOndRPv3cfPR?si=d7c96b362348482e
Pleading the Major Fifth - TTS,BurningAurora,Krethes,Sirius Black/Remus Lupin,https://open.spotify.com/episode/00AjfBd82iJ2zyarFRmlS0?si=5dd51b0dd2b04cb6
"Please, Call Me Narcissa",DontStopHerPodfics,DontStopHerNow,Lucius Malfoy/Narcissa Black Malfoy,https://archiveofourown.org/works/48962719
Plenitude,wilfriede0815,eldritcher,Hermione Granger/Amelia Bones,https://archiveofourown.org/works/50273704
Pliant Like the Bamboo,fire_juggler,Valinorean,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309328
Poetry Like Love,micha_making_podfics,porcelainsalt (bluedreaming),Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47034991
Point to Point,JocundaSykes,worksofstone,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/36287671
Poison & Wine,EllaMcSmellBella,DarkoftheMoon,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41781660
Pomegranate,seeking_semperfiona,treacle_tartlet,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/15949100
Potter,micha_making_podfics,Quine,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/5q7FqREjyLERSVe8fvx3gO?si=1bf3e361057049ba
Power Couple,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138775
Praise You Like I Should,Ashata,fruitcoops,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45115621
Presents,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4bg7JeLzVOgPgwd8AA8bUh?si=GYwcmpsSTDm6Ahiw4miXHA
Presque Toujours Pur,Beatificbean,Shayalonnie,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/54257644
Priceless,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43513041
Primal,picascribit,picascribit,Hermione Granger/Ron Weasley,https://archiveofourown.org/works/978372
Prior,kitartpods,Tavina,Cho Chang/Blaise Zabini,https://archiveofourown.org/works/40912089
Priority 0 ,Ashata,anonymous,Sirius Black/Remus Lupin,https://open.spotify.com/episode/3brabEpwFcfRAUT3QoMCY8?si=8abbfc7174014184
Prometheus,The Dramione Archives,CanadianMuggle,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/226XtVOE3y4iPGLKNLLvZz?si=6b2b974c39a7468a
Proper Introductions,"BurningAurora, MsAlexWP, R33sesPieces, read by (ashata)",Engie_Ivy,Sirius Black/Remus Lupin,https://archiveofourown.org/works/50898199
Psycho,EllaMcSmellBella,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50142268
Queen of Lonely Hearts,ETL_Echo_Audiobooks,raven_maiden,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137884
Quidditch and Quietude,"podfic_lover, Pods and Filks by (SerenaEW), robinfaipods (Robin_Fai), thriceandonce (sylvaine)",Ttime42,Harry Potter/Severus Snape,https://archiveofourown.org/works/50861200
Quintuple Meter - TTS,BurningAurora,Krethes,Sirius Black/Remus Lupin,https://archiveofourown.org/works/52881178?view_adult=true
R O S E S,ETL_Echo_Audiobooks,ambpersand,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41249274
Radically Both - TTS,BurningAurora,synonomu,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5EfZUAzDICGjeI8vntFovp?si=13dd04321f4c4e7d
Rainfall,seeking_semperfiona,Sarahs_Girll,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/19450633
Re Scores - TTS,BurningAurora,ashata,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46149913
Reasonable Adjustments,Queenie_Mab,wench_fics,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/2055597
Rebirth,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138919
Rebuilding,SilverMissFanfiction,Colubrina,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/76a1PdQUieibjeWh0LHSr0?si=0e6c0883255e4ca4
Reconditioning,"BinteMuhammad, Pods and Filks by (SerenaEW), SerenaEW",SerenaEW,Harry Potter/Severus Snape,https://archiveofourown.org/works/49490596/chapters/124905793
Red Or Green,EllaMcSmellBella,Senlinyu,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407703
Redefining Bill Weasley,fire_juggler,The_Minx_17,Harry Potter/Bill Weasley,https://archiveofourown.org/works/309661
Redemption,fire_juggler,khasael,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7505032
Rediscovering Joy,Queenie_Mab,sassy_cissa,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/1096690
Reflections,peaceinpanem,souljelly,Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/50578783
Refuge From The Miseries of Life,Heartless Podfics,heOnceandFutureQueenofTarts,Harry Potter/Tom Riddle,https://open.spotify.com/episode/5Z9x0FusZG8bizcWo82oKU?si=a139a388565f4df4
Reigniting Harry Potter (A Task For Draco Malfoy),reveriepi,QueenofThyme,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/49400593
Remain in the Light - TTS,BurningAurora,veeagainst,Sirius Black/Remus Lupin,https://open.spotify.com/episode/526z0BcoTML5raOexlHX1k?si=f4aea155183c4676
Remain Nameless,ETL_Echo_Audiobooks,Heyjude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41146992
Remain Nameless: Ceremonials,ETL_Echo_Audiobooks,Heyjude20,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44810188
remember me,sweaters_in_the_summer,hupsoonheng,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47828533
Remember Me,sweaters_in_the_summer,hupsoonheng,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47828533
Remus Lupin and the Christmas Snail,Cailynwrites,Mercurie,Remus Lupin/Nymphadora Tonks,https://archiveofourown.org/works/52139518
Rendezvous Interrupted,AmyPC,BoredRavenvlaw620,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/36958288
Reparatio,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7243732
Return of the Bastard Black,ETL_Echo_Audiobooks,Plume (smoke_and_plume),Regulus Black/Hermione Granger,https://archiveofourown.org/works/43758552
Ribbons Down Her Back,EllaMcSmellBella,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43425150
riddle me this,ETL_Echo_Audiobooks,megamegaturtle,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40894680
Riding Lessons,SilverMiss Fanfiction,colubrina,Marcus Flint/Hermione Granger,https://open.spotify.com/episode/7dSHIgv6c48jKzBBGGAsts?si=688bcbeef3904d60
"Rights and Wrongs: Part 1, The Right Thing to Do",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/45489856
"Rights and Wrongs: Part 2,  All the Wrong Things",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/45490246
"Rights and Wrongs: Part 3, The Auction",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/45490651
"Rights and Wrongs: Part 5, All Right",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/45491335
"Rights and Wrongs: Part 5, Wrong Time, Wrong Place",ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/26621266
Rise Above the Moon,Queenie_Mab,Queenie_Mab,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/2064681
Rivalry,micha_making_podfics,Ladderofyears,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47034949
Rocking Around the Christmas Tree ,ETL_Echo_Audiobooks,PTwritesmore,Daphne Greengrass/Ron Weasley,https://archiveofourown.org/works/52303636
Role Models,Ashata,squidgilator,Sirius Black/Remus Lupin,https://archiveofourown.org/works/41301744
Romantic Obscenities and Other Curiosities Of Love,"BurningAurora, read by (ashata)",casstayinmyass,Sirius Black/Remus Lupin,https://archiveofourown.org/works/49121635
Ron Weasley and the Clothes of Doom,DemonFeedAudio,Liesha130,Ron Weasley/Blaise Zabini,https://archiveofourown.org/works/39167535
Roots and Veins,Ashata,fruitcoops,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45113347
Rosemary for Remembrance,Paper Crane Audiobooks,rubber_soul02,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3c2N3AOqo4NpvaYxG1XDGH?si=4376a8e19eef478e
Rosemary for Remembrance,Portable Magic,rubber_soul02,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0fRZAXdJ9BDSaDXnUyHmV5?si=6c600ee3cfcb4e40
Rough Seas (and Hard Sails) - TTS,BurningAurora,heartofspells,Sirius Black/Remus Lupin,https://open.spotify.com/episode/19DqD2nGtzBLtcmU6KD5lw?si=c6b20183b89145d0
Routines,JocundaSykes,Phantomato,Edmund Pevensie/Tom Riddle,https://archiveofourown.org/works/47276146
Ruin,monarchyofone,Chickenpets,Harry Potter/Severus Snape,https://archiveofourown.org/works/26834212
Ruined,TheseLittleWonders,In_Dreams,Hermione Granger/Theodore Nott,https://archiveofourown.org/works/52882027
Ruining Pansy Parkinson,DontStopHerPodfics,DontStopHerNow,Pansy Parkinson/Percy Weasley,https://archiveofourown.org/works/47181571
Rumours of My Death,picascribit,picascribit,Sirius Black/Remus Lupin,https://archiveofourown.org/works/934572
Running from Lions,seeking_semperfiona,tryslora,Harry Potter/Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/3127415
Running on Air,EllaMcSmellBella,eleventy7,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/2lS5Tkf3VGBLCtGsO0MXNO?si=03e2f2e3ba91452e
Sanctuary - TTS,BurningAurora,sliebman10,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45364162
"Sands of Time: Part 1, This is Your Hourglass (It's Running Out of Sand)",RoastedOats,Drag0nst0rm,James Potter/Lily Evans Potter,https://archiveofourown.org/works/52858933
"Sands of Time: Part 2, This is Your Legacy (It's Written in the Sand)",RoastedOats,Drag0nst0rm,Harry Potter & James Potter & Lily Evans Potter,https://archiveofourown.org/works/52859047
Savage,fire_juggler,Marguerite_26,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/309338
Say that again,ETL_Echo_Audiobooks,pixydustworld,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/45685513
